word_1,word_2,CommaOrPeriod,gap
 I, have,False,0.0
 have, the,False,0.0
 the, pleasure,False,0.0
 pleasure, to,False,0.0
 to, present,False,0.0
 present, to,False,0.0
 to, you,False,0.0
 you, Dr.,False,0.0
 Dr., Martin,True,0.20000000000000018
 Martin, Luther,False,0.0
 Luther," King,",False,0.0
" King,", Jr.,True,0.28000000000000025
 Jr., I,True,7.7
 I, am,False,0.0
 am, happy,False,0.0
 happy, to,False,0.0
 to, join,False,0.0
 join, with,False,0.0
 with, you,False,0.0
 you, today,False,0.0
 today, in,False,0.0
 in, what,False,0.0
 what, will,False,0.0
 will, go,False,0.0
 go, down,False,0.0
 down, in,False,0.0
 in, history,False,0.0
 history, as,False,1.3000000000000007
 as, the,False,0.0
 the, greatest,False,0.0
 greatest, demonstration,False,0.0
 demonstration, for,False,0.0
 for, freedom,False,0.0
 freedom, in,False,0.0
 in, the,False,0.0
 the, history,False,0.0
 history, of,False,0.0
 of, our,False,0.0
 our, nation.,False,0.0
 nation., Five,True,8.060000000000006
 Five, score,False,0.0
 score, years,False,0.0
 years," ago,",False,0.0
" ago,", a,True,0.1599999999999966
 a, great,False,0.0
 great, American,False,0.0
 American, in,False,0.0
 in, whose,False,0.0
 whose, symbolic,False,0.0
 symbolic, shadow,False,0.0
 shadow, we,False,0.0
 we, stand,False,0.0
 stand, today,False,0.0
 today, signed,False,0.0
 signed, the,False,0.0
 the, Emancipation,False,0.0
 Emancipation, Proclamation.,False,0.0
 Proclamation., This,True,1.5400000000000063
 This, momentous,False,0.0
 momentous, decree,False,0.0
 decree, came,False,0.0
 came, as,False,0.0
 as, a,False,0.0
 a, great,False,0.0
 great, victory,False,0.0
 victory, for,False,0.0
 for, the,False,0.0
 the, people,False,0.0
 people, of,False,0.0
 of, America.,False,0.0
 It, had,False,0.0
 had, become,False,0.0
 become, light,False,0.0
 light, of,False,0.0
 of, hope,False,0.0
 hope, to,False,0.0
 to, millions,False,0.0
 millions, of,False,0.0
 of, Negro,False,0.0
 Negro, slaves,False,0.0
 slaves, who,False,1.059999999999988
 who, had,False,0.0
 had, been,False,0.0
 been, seared,False,0.0
 seared, in,False,0.0
 in, the,False,0.0
 the, flames,False,0.0
 flames, of,False,0.0
 of, withering,False,0.0
 withering, injustice.,False,0.0
 injustice., It,True,1.720000000000013
 It, came,False,0.0
 came, as,False,0.0
 as, a,False,0.0
 a, joyous,False,0.0
 joyous, daybreak,False,0.0
 daybreak, to,False,1.5000000000000142
 to, end,False,0.0
 end, the,False,0.0
 the, long,False,0.0
 long, night,False,0.0
 night, of,False,0.0
 of, their,False,0.0
 their, captivity.,False,0.0
 captivity., But,True,1.9200000000000017
 But, 100,False,0.0
 100, years,False,0.0
 years," later,",False,0.0
" later,", the,True,1.8599999999999852
 the, Negro,False,0.0
 Negro, still,False,0.0
 still, is,False,0.0
 is, not,False,0.0
 not, alone.,False,0.0
 alone., The,True,0.01999999999999602
 The, Negro,False,0.0
 Negro, is,False,0.0
 is, not,False,0.0
 not, free.,False,0.0
 free., 100,True,1.8599999999999994
 100, years,False,0.0
 years," later,",False,0.0
" later,", the,True,1.7399999999999949
 the, life,False,0.0
 life, of,False,0.0
 of, the,False,0.0
 the, Negro,False,0.0
 Negro, is,False,0.0
 is, still,False,0.0
 still, sadly,False,0.0
 sadly, crippled,False,0.0
 crippled, by,False,0.0
 by, the,False,0.0
 the, manacles,False,0.0
 manacles, of,False,0.0
 of, segregation,False,0.0
 segregation, and,False,1.1400000000000006
 and, the,False,0.0
 the, chains,False,0.0
 chains, of,False,0.0
 of, discrimination.,False,0.0
 discrimination., 100,True,1.2600000000000193
 100, years,False,0.0
 years," later,",False,0.0
" later,", the,True,1.5799999999999983
 the, Negro,False,0.0
 Negro, lives,False,0.0
 lives, on,False,0.0
 on, a,False,0.0
 a, lonely,False,0.0
 lonely, island,False,0.0
 island, of,False,0.0
 of, poverty,False,0.0
 poverty, in,False,1.1600000000000108
 in, the,False,0.0
 the, midst,False,0.0
 midst, of,False,0.0
 of, a,False,0.0
 a, vast,False,0.0
 vast, ocean,False,0.0
 ocean, of,False,0.0
 of, material,False,0.0
 material, prosperity.,False,0.0
 100, years,False,0.0
 years," later,",False,0.0
" later,", the,True,4.319999999999993
 the, Negro,False,0.0
 Negro, is,False,0.0
 is, still,False,0.0
 still, languished,False,0.0
 languished, in,False,0.0
 in, the,False,0.0
 the, corners,False,0.0
 corners, of,False,0.0
 of, American,False,0.0
 American, society,False,0.0
 society, and,False,0.7800000000000011
 and, finds,False,0.0
 finds, himself,False,0.0
 himself, in,False,0.0
 in, exile,False,0.0
 exile, in,False,0.0
 in, his,False,0.0
 his, own,False,0.0
 own, land.,False,0.0
 land., And,True,0.7800000000000011
 And, so,False,0.0
 so, we've,False,0.0
 we've, come,False,0.0
 come, here,False,0.0
